3	 & 	3	 & 	3	 & 	3	 & 	20	 & 	1	 & 	13	 & 	20	 & 	5	 & 	7	 & 	35.0%	 & 	Flits:1200	 & 	2000	 & 	1200	 & 	60.0%	 & 	\\ 
103	 & 	4	 & 	4	 & 	4	 & 	124	 & 	10	 & 	18	 & 	24	 & 	6	 & 	6	 & 	25.0%	 & 	Flits:1200	 & 	2400	 & 	1200	 & 	50.0%	 & 	\\ 
104	 & 	5	 & 	104	 & 	5	 & 	224	 & 	18	 & 	17	 & 	24	 & 	5	 & 	7	 & 	29.0%	 & 	Flits:1200	 & 	2400	 & 	1200	 & 	50.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	1	 & 	17	 & 	21	 & 	4	 & 	4	 & 	19.0%	 & 	Flits:1200	 & 	2100	 & 	800	 & 	38.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	22	 & 	1	 & 	16	 & 	22	 & 	5	 & 	6	 & 	27.0%	 & 	Flits:1200	 & 	2200	 & 	1100	 & 	50.0%	 & 	\\ 
102	 & 	3	 & 	6	 & 	6	 & 	128	 & 	10	 & 	17	 & 	28	 & 	8	 & 	11	 & 	39.0%	 & 	Flits:1200	 & 	2800	 & 	1900	 & 	67.0%	 & 	\\ 
103	 & 	4	 & 	103	 & 	4	 & 	123	 & 	10	 & 	16	 & 	23	 & 	4	 & 	7	 & 	30.0%	 & 	Flits:1200	 & 	2300	 & 	1100	 & 	47.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	13	 & 	23	 & 	9	 & 	10	 & 	43.0%	 & 	Flits:1200	 & 	2300	 & 	1900	 & 	82.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	26	 & 	2	 & 	17	 & 	26	 & 	5	 & 	9	 & 	34.0%	 & 	Flits:1200	 & 	2600	 & 	1400	 & 	53.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	118	 & 	9	 & 	14	 & 	18	 & 	3	 & 	4	 & 	22.0%	 & 	Flits:1200	 & 	1800	 & 	700	 & 	38.0%	 & 	\\ 
103	 & 	4	 & 	103	 & 	4	 & 	220	 & 	18	 & 	13	 & 	20	 & 	5	 & 	7	 & 	35.0%	 & 	Flits:1200	 & 	2000	 & 	1200	 & 	60.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	16	 & 	23	 & 	5	 & 	7	 & 	30.0%	 & 	Flits:1200	 & 	2300	 & 	1200	 & 	52.0%	 & 	\\ 
103	 & 	4	 & 	103	 & 	4	 & 	220	 & 	18	 & 	15	 & 	20	 & 	3	 & 	5	 & 	25.0%	 & 	Flits:1200	 & 	2000	 & 	800	 & 	40.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	2	 & 	17	 & 	24	 & 	7	 & 	7	 & 	29.0%	 & 	Flits:1200	 & 	2400	 & 	1400	 & 	58.0%	 & 	\\ 
102	 & 	3	 & 	3	 & 	3	 & 	120	 & 	10	 & 	16	 & 	20	 & 	4	 & 	4	 & 	20.0%	 & 	Flits:1200	 & 	2000	 & 	800	 & 	40.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	17	 & 	23	 & 	6	 & 	6	 & 	26.0%	 & 	Flits:1200	 & 	2300	 & 	1200	 & 	52.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	120	 & 	10	 & 	15	 & 	20	 & 	4	 & 	5	 & 	25.0%	 & 	Flits:1200	 & 	2000	 & 	900	 & 	45.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	120	 & 	10	 & 	15	 & 	20	 & 	5	 & 	5	 & 	25.0%	 & 	Flits:1200	 & 	2000	 & 	1000	 & 	50.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	22	 & 	1	 & 	13	 & 	22	 & 	4	 & 	9	 & 	40.0%	 & 	Flits:1200	 & 	2200	 & 	1300	 & 	59.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	26	 & 	2	 & 	17	 & 	26	 & 	6	 & 	9	 & 	34.0%	 & 	Flits:1200	 & 	2600	 & 	1500	 & 	57.0%	 & 	\\ 
102	 & 	3	 & 	3	 & 	3	 & 	220	 & 	18	 & 	18	 & 	20	 & 	2	 & 	2	 & 	10.0%	 & 	Flits:1200	 & 	2000	 & 	400	 & 	20.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	22	 & 	1	 & 	15	 & 	22	 & 	5	 & 	7	 & 	31.0%	 & 	Flits:1200	 & 	2200	 & 	1200	 & 	54.0%	 & 	\\ 
102	 & 	3	 & 	102	 & 	3	 & 	120	 & 	10	 & 	16	 & 	20	 & 	3	 & 	4	 & 	20.0%	 & 	Flits:1200	 & 	2000	 & 	700	 & 	35.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	1	 & 	17	 & 	21	 & 	4	 & 	4	 & 	19.0%	 & 	Flits:1200	 & 	2100	 & 	800	 & 	38.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	22	 & 	1	 & 	16	 & 	22	 & 	5	 & 	6	 & 	27.0%	 & 	Flits:1200	 & 	2200	 & 	1100	 & 	50.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	21	 & 	1	 & 	16	 & 	21	 & 	4	 & 	5	 & 	23.0%	 & 	Flits:1200	 & 	2100	 & 	900	 & 	42.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	23	 & 	1	 & 	20	 & 	23	 & 	3	 & 	3	 & 	13.0%	 & 	Flits:1200	 & 	2300	 & 	600	 & 	26.0%	 & 	\\ 
101	 & 	2	 & 	5	 & 	5	 & 	122	 & 	10	 & 	14	 & 	22	 & 	7	 & 	8	 & 	36.0%	 & 	Flits:1200	 & 	2200	 & 	1500	 & 	68.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	26	 & 	2	 & 	17	 & 	26	 & 	7	 & 	9	 & 	34.0%	 & 	Flits:1200	 & 	2600	 & 	1600	 & 	61.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	21	 & 	1	 & 	17	 & 	21	 & 	4	 & 	4	 & 	19.0%	 & 	Flits:1200	 & 	2100	 & 	800	 & 	38.0%	 & 	\\ 
