1001	 & 	2	 & 	5	 & 	5	 & 	1021	 & 	113	 & 	12	 & 	21	 & 	6	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	15000	 & 	71.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1021	 & 	113	 & 	12	 & 	21	 & 	6	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	15000	 & 	71.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1023	 & 	113	 & 	14	 & 	23	 & 	7	 & 	9	 & 	39.0%	 & 	Flits:9000	 & 	23000	 & 	16000	 & 	69.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1019	 & 	113	 & 	11	 & 	19	 & 	4	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	12000	 & 	63.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	12	 & 	19	 & 	6	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	13000	 & 	68.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	15	 & 	23	 & 	5	 & 	8	 & 	34.0%	 & 	Flits:9000	 & 	23000	 & 	13000	 & 	56.0%	 & 	\\ 
1001	 & 	2	 & 	3	 & 	3	 & 	1017	 & 	113	 & 	12	 & 	17	 & 	4	 & 	5	 & 	29.0%	 & 	Flits:9000	 & 	17000	 & 	9000	 & 	52.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	2	 & 	13	 & 	21	 & 	6	 & 	8	 & 	38.0%	 & 	Flits:9000	 & 	21000	 & 	14000	 & 	66.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	12	 & 	19	 & 	4	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	11000	 & 	57.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	11	 & 	19	 & 	6	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	14000	 & 	73.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	2	 & 	12	 & 	21	 & 	7	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	16000	 & 	76.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1021	 & 	113	 & 	13	 & 	21	 & 	6	 & 	8	 & 	38.0%	 & 	Flits:9000	 & 	21000	 & 	14000	 & 	66.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1019	 & 	113	 & 	11	 & 	19	 & 	6	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	14000	 & 	73.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1017	 & 	113	 & 	11	 & 	17	 & 	4	 & 	6	 & 	35.0%	 & 	Flits:9000	 & 	17000	 & 	10000	 & 	58.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	11	 & 	19	 & 	4	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	12000	 & 	63.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	21	 & 	2	 & 	14	 & 	21	 & 	6	 & 	7	 & 	33.0%	 & 	Flits:9000	 & 	21000	 & 	13000	 & 	61.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	14	 & 	19	 & 	4	 & 	5	 & 	26.0%	 & 	Flits:9000	 & 	19000	 & 	9000	 & 	47.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1025	 & 	113	 & 	16	 & 	25	 & 	6	 & 	9	 & 	36.0%	 & 	Flits:9000	 & 	25000	 & 	15000	 & 	60.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	17	 & 	23	 & 	5	 & 	6	 & 	26.0%	 & 	Flits:9000	 & 	23000	 & 	11000	 & 	47.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1021	 & 	113	 & 	15	 & 	21	 & 	5	 & 	6	 & 	28.0%	 & 	Flits:9000	 & 	21000	 & 	11000	 & 	52.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1019	 & 	113	 & 	11	 & 	19	 & 	7	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	15000	 & 	78.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	2019	 & 	224	 & 	12	 & 	19	 & 	5	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	12000	 & 	63.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	2019	 & 	224	 & 	12	 & 	19	 & 	5	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	12000	 & 	63.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	2	 & 	13	 & 	21	 & 	6	 & 	8	 & 	38.0%	 & 	Flits:9000	 & 	21000	 & 	14000	 & 	66.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	10	 & 	19	 & 	5	 & 	9	 & 	47.0%	 & 	Flits:9000	 & 	19000	 & 	14000	 & 	73.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1019	 & 	113	 & 	10	 & 	19	 & 	4	 & 	9	 & 	47.0%	 & 	Flits:9000	 & 	19000	 & 	13000	 & 	68.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	1019	 & 	113	 & 	15	 & 	19	 & 	4	 & 	4	 & 	21.0%	 & 	Flits:9000	 & 	19000	 & 	8000	 & 	42.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	25	 & 	2	 & 	17	 & 	25	 & 	7	 & 	8	 & 	32.0%	 & 	Flits:9000	 & 	25000	 & 	15000	 & 	60.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	21	 & 	2	 & 	12	 & 	21	 & 	6	 & 	9	 & 	42.0%	 & 	Flits:9000	 & 	21000	 & 	15000	 & 	71.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	21	 & 	2	 & 	13	 & 	21	 & 	6	 & 	8	 & 	38.0%	 & 	Flits:9000	 & 	21000	 & 	14000	 & 	66.0%	 & 	\\ 
