1001	 & 	2	 & 	3	 & 	3	 & 	1019	 & 	113	 & 	11	 & 	19	 & 	6	 & 	8	 & 	42.0%	 & 	Flits:9000	 & 	19000	 & 	14000	 & 	73.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	18	 & 	23	 & 	4	 & 	5	 & 	21.0%	 & 	Flits:9000	 & 	23000	 & 	9000	 & 	39.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1025	 & 	113	 & 	13	 & 	25	 & 	8	 & 	12	 & 	48.0%	 & 	Flits:9000	 & 	25000	 & 	20000	 & 	80.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	12	 & 	19	 & 	4	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	11000	 & 	57.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	25	 & 	2	 & 	15	 & 	25	 & 	6	 & 	10	 & 	40.0%	 & 	Flits:9000	 & 	25000	 & 	16000	 & 	64.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	25	 & 	2	 & 	15	 & 	25	 & 	6	 & 	10	 & 	40.0%	 & 	Flits:9000	 & 	25000	 & 	16000	 & 	64.0%	 & 	\\ 
1001	 & 	2	 & 	3	 & 	3	 & 	1019	 & 	113	 & 	12	 & 	19	 & 	5	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	12000	 & 	63.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	16	 & 	23	 & 	6	 & 	7	 & 	30.0%	 & 	Flits:9000	 & 	23000	 & 	13000	 & 	56.0%	 & 	\\ 
1003	 & 	4	 & 	1003	 & 	4	 & 	2019	 & 	224	 & 	12	 & 	19	 & 	4	 & 	7	 & 	36.0%	 & 	Flits:9000	 & 	19000	 & 	11000	 & 	57.0%	 & 	\\ 
1001	 & 	2	 & 	5	 & 	5	 & 	1023	 & 	113	 & 	16	 & 	23	 & 	5	 & 	7	 & 	30.0%	 & 	Flits:9000	 & 	23000	 & 	12000	 & 	52.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	14	 & 	23	 & 	5	 & 	9	 & 	39.0%	 & 	Flits:9000	 & 	23000	 & 	14000	 & 	60.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	12	 & 	23	 & 	8	 & 	11	 & 	47.0%	 & 	Flits:9000	 & 	23000	 & 	19000	 & 	82.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	10	 & 	19	 & 	4	 & 	9	 & 	47.0%	 & 	Flits:9000	 & 	19000	 & 	13000	 & 	68.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	19	 & 	2	 & 	13	 & 	19	 & 	5	 & 	6	 & 	31.0%	 & 	Flits:9000	 & 	19000	 & 	11000	 & 	57.0%	 & 	\\ 
3	 & 	3	 & 	3	 & 	3	 & 	17	 & 	1	 & 	12	 & 	17	 & 	4	 & 	5	 & 	29.0%	 & 	Flits:9000	 & 	17000	 & 	9000	 & 	52.0%	 & 	\\ 
1003	 & 	4	 & 	5	 & 	5	 & 	1025	 & 	113	 & 	17	 & 	25	 & 	4	 & 	8	 & 	32.0%	 & 	Flits:9000	 & 	25000	 & 	12000	 & 	48.0%	 & 	\\ 
5	 & 	5	 & 	5	 & 	5	 & 	23	 & 	2	 & 	17	 & 	23	 & 	3	 & 	6	 & 	26.0%	 & 	Flits:9000	 & 	23000	 & 	9000	 & 	39.0%	 & 	\\ 
