702	 & 	4	 & 	4	 & 	4	 & 	844	 & 	60	 & 	15	 & 	24	 & 	6	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2490	 & 	60.0%	 & 	\\ 
412	 & 	4	 & 	4	 & 	4	 & 	434	 & 	31	 & 	16	 & 	24	 & 	6	 & 	8	 & 	33.0%	 & 	Flits:3100	 & 	4130	 & 	2390	 & 	57.0%	 & 	\\ 
112	 & 	4	 & 	4	 & 	4	 & 	244	 & 	17	 & 	15	 & 	24	 & 	6	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2100	 & 	50.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	244	 & 	17	 & 	15	 & 	24	 & 	6	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2140	 & 	51.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
122	 & 	5	 & 	122	 & 	5	 & 	274	 & 	19	 & 	16	 & 	24	 & 	5	 & 	8	 & 	33.0%	 & 	Flits:3100	 & 	4130	 & 	1890	 & 	45.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	13	 & 	24	 & 	7	 & 	11	 & 	45.0%	 & 	Flits:3100	 & 	4130	 & 	2980	 & 	72.0%	 & 	\\ 
202	 & 	4	 & 	202	 & 	4	 & 	344	 & 	24	 & 	15	 & 	24	 & 	5	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2040	 & 	49.0%	 & 	\\ 
111	 & 	3	 & 	4	 & 	4	 & 	334	 & 	23	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
111	 & 	3	 & 	4	 & 	4	 & 	134	 & 	9	 & 	16	 & 	24	 & 	6	 & 	8	 & 	33.0%	 & 	Flits:3100	 & 	4130	 & 	2130	 & 	51.0%	 & 	\\ 
612	 & 	4	 & 	4	 & 	4	 & 	744	 & 	53	 & 	16	 & 	24	 & 	5	 & 	8	 & 	33.0%	 & 	Flits:3100	 & 	4130	 & 	1890	 & 	45.0%	 & 	\\ 
122	 & 	5	 & 	122	 & 	5	 & 	274	 & 	19	 & 	15	 & 	24	 & 	7	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
4	 & 	4	 & 	4	 & 	4	 & 	24	 & 	1	 & 	15	 & 	24	 & 	6	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2230	 & 	53.0%	 & 	\\ 
202	 & 	4	 & 	4	 & 	4	 & 	434	 & 	31	 & 	15	 & 	24	 & 	4	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1540	 & 	37.0%	 & 	\\ 
112	 & 	4	 & 	112	 & 	4	 & 	154	 & 	11	 & 	17	 & 	24	 & 	5	 & 	7	 & 	29.0%	 & 	Flits:3100	 & 	4130	 & 	2180	 & 	52.0%	 & 	\\ 
102	 & 	3	 & 	4	 & 	4	 & 	254	 & 	18	 & 	15	 & 	24	 & 	7	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2500	 & 	60.0%	 & 	\\ 
201	 & 	3	 & 	4	 & 	4	 & 	224	 & 	16	 & 	14	 & 	24	 & 	7	 & 	10	 & 	41.0%	 & 	Flits:3100	 & 	4130	 & 	2440	 & 	59.0%	 & 	\\ 
612	 & 	4	 & 	612	 & 	4	 & 	754	 & 	53	 & 	15	 & 	24	 & 	4	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1980	 & 	47.0%	 & 	\\ 
612	 & 	4	 & 	4	 & 	4	 & 	844	 & 	60	 & 	15	 & 	24	 & 	4	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1980	 & 	47.0%	 & 	\\ 
112	 & 	4	 & 	4	 & 	4	 & 	244	 & 	17	 & 	16	 & 	24	 & 	5	 & 	8	 & 	33.0%	 & 	Flits:3100	 & 	4130	 & 	1890	 & 	45.0%	 & 	\\ 
612	 & 	4	 & 	4	 & 	4	 & 	744	 & 	53	 & 	16	 & 	24	 & 	5	 & 	8	 & 	33.0%	 & 	Flits:3100	 & 	4130	 & 	1890	 & 	45.0%	 & 	\\ 
102	 & 	4	 & 	102	 & 	4	 & 	124	 & 	8	 & 	15	 & 	24	 & 	7	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2590	 & 	62.0%	 & 	\\ 
112	 & 	4	 & 	4	 & 	4	 & 	344	 & 	24	 & 	15	 & 	24	 & 	4	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	1980	 & 	47.0%	 & 	\\ 
612	 & 	4	 & 	14	 & 	5	 & 	764	 & 	54	 & 	15	 & 	24	 & 	7	 & 	9	 & 	37.0%	 & 	Flits:3100	 & 	4130	 & 	2500	 & 	60.0%	 & 	\\ 
